Place_ID X Date,target
0OS9LVX X 2020-01-02,59.64
0OS9LVX X 2020-01-03,35.74
0OS9LVX X 2020-01-04,38.85
0OS9LVX X 2020-01-05,62.66
0OS9LVX X 2020-01-06,78.07
0OS9LVX X 2020-01-07,75.53
0OS9LVX X 2020-01-08,71.69
0OS9LVX X 2020-01-09,46.25
0OS9LVX X 2020-01-10,33.27
0OS9LVX X 2020-01-11,37.65
0OS9LVX X 2020-01-12,41.05
0OS9LVX X 2020-01-13,76.55
0OS9LVX X 2020-01-14,30.73
0OS9LVX X 2020-01-15,34.05
0OS9LVX X 2020-01-16,28.74
0OS9LVX X 2020-01-17,39.0
0OS9LVX X 2020-01-18,36.11
0OS9LVX X 2020-01-19,34.3
0OS9LVX X 2020-01-20,23.12
0OS9LVX X 2020-01-21,56.22
0OS9LVX X 2020-01-22,31.29
0OS9LVX X 2020-01-23,34.71
0OS9LVX X 2020-01-24,61.81
0OS9LVX X 2020-01-25,49.7
0OS9LVX X 2020-01-26,47.34
0OS9LVX X 2020-01-27,30.49
0OS9LVX X 2020-01-28,33.54
0OS9LVX X 2020-01-29,39.56
0OS9LVX X 2020-01-30,89.77
0OS9LVX X 2020-01-31,35.49
0OS9LVX X 2020-02-01,44.77
0OS9LVX X 2020-02-02,43.06
0OS9LVX X 2020-02-03,43.6
0OS9LVX X 2020-02-04,86.03
0OS9LVX X 2020-02-05,33.74
0OS9LVX X 2020-02-06,68.68
0OS9LVX X 2020-02-07,30.62
0OS9LVX X 2020-02-08,33.73
0OS9LVX X 2020-02-09,84.61
0OS9LVX X 2020-02-10,34.38
0OS9LVX X 2020-02-11,35.08
0OS9LVX X 2020-02-12,34.38
0OS9LVX X 2020-02-13,104.58
0OS9LVX X 2020-02-14,39.41
0OS9LVX X 2020-02-15,40.62
0OS9LVX X 2020-02-16,50.42
0OS9LVX X 2020-02-17,34.91
0OS9LVX X 2020-02-18,32.05
0OS9LVX X 2020-02-19,34.54
0OS9LVX X 2020-02-20,42.41
0OS9LVX X 2020-02-21,43.04
0OS9LVX X 2020-02-22,141.65
0OS9LVX X 2020-02-23,38.09
0OS9LVX X 2020-02-24,36.46
0OS9LVX X 2020-02-25,55.58
0OS9LVX X 2020-02-26,48.17
0OS9LVX X 2020-02-27,55.11
0OS9LVX X 2020-02-28,104.68
0OS9LVX X 2020-02-29,88.55
0OS9LVX X 2020-03-01,95.15
0OS9LVX X 2020-03-02,42.16
0OS9LVX X 2020-03-03,37.1
0OS9LVX X 2020-03-04,81.36
0OS9LVX X 2020-03-05,43.88
0OS9LVX X 2020-03-06,45.42
0OS9LVX X 2020-03-07,42.62
0OS9LVX X 2020-03-08,38.76
0OS9LVX X 2020-03-09,31.05
0OS9LVX X 2020-03-10,30.31
0OS9LVX X 2020-03-11,39.9
0OS9LVX X 2020-03-12,52.28
0OS9LVX X 2020-03-13,39.59
0OS9LVX X 2020-03-14,43.02
0OS9LVX X 2020-03-15,31.42
0OS9LVX X 2020-03-16,34.97
0OS9LVX X 2020-03-17,30.93
0OS9LVX X 2020-03-18,48.19
0OS9LVX X 2020-03-19,39.82
0OS9LVX X 2020-03-20,37.7
0OS9LVX X 2020-03-21,34.19
0OS9LVX X 2020-03-22,34.57
0OS9LVX X 2020-03-23,39.92
0OS9LVX X 2020-03-24,42.07
0OS9LVX X 2020-03-25,41.58
0OS9LVX X 2020-03-26,37.54
0OS9LVX X 2020-03-27,33.4
0OS9LVX X 2020-03-28,42.02
0OS9LVX X 2020-03-29,45.36
0OS9LVX X 2020-03-30,48.02
0OS9LVX X 2020-03-31,41.27
0OS9LVX X 2020-04-01,44.61
0OS9LVX X 2020-04-02,39.23
0OS9LVX X 2020-04-03,44.65
0OS9LVX X 2020-04-04,52.33
0Q2LTOG X 2020-01-02,95.12
0Q2LTOG X 2020-01-03,103.57
0Q2LTOG X 2020-01-04,120.55
0Q2LTOG X 2020-01-05,70.79
0Q2LTOG X 2020-01-06,39.14
0Q2LTOG X 2020-01-07,28.83
0Q2LTOG X 2020-01-08,49.31
0Q2LTOG X 2020-01-09,94.92
0Q2LTOG X 2020-01-10,89.87
0Q2LTOG X 2020-01-11,167.01
0Q2LTOG X 2020-01-12,74.6
0Q2LTOG X 2020-01-13,83.74
0Q2LTOG X 2020-01-14,130.68
0Q2LTOG X 2020-01-15,120.4
0Q2LTOG X 2020-01-16,86.63
0Q2LTOG X 2020-01-17,110.21
0Q2LTOG X 2020-01-18,119.46
0Q2LTOG X 2020-01-19,88.13
0Q2LTOG X 2020-01-20,92.35
0Q2LTOG X 2020-01-21,79.39
0Q2LTOG X 2020-01-22,99.29
0Q2LTOG X 2020-01-23,72.19
0Q2LTOG X 2020-01-24,64.37
0Q2LTOG X 2020-01-25,65.66
0Q2LTOG X 2020-01-26,107.58
0Q2LTOG X 2020-01-27,37.61
0Q2LTOG X 2020-01-28,68.19
0Q2LTOG X 2020-01-29,68.67
0Q2LTOG X 2020-01-30,87.88
0Q2LTOG X 2020-01-31,94.35
